movieId,tag
429,modernism
430,photography
431,too long
432,multiple storylines
433,psychological
434,Sean Penn
435,atmospheric
436,colours
437,martial arts
438,photography
439,dialogue driven
440,mindfuck
441,plot holes
442,sci-fi
443,time travel
444,Biography
445,disturbing
446,excellent performance
447,historical
448,World War II
449,comic book
450,dark
451,dystopia
452,England
453,inspirational
454,Natalie Portman
455,politics
456,thought-provoking
457,visually appealing
458,action packed
459,characters
460,Miami
461,shallow
462,unrealistic
463,unrealistic action
464,unrealistic plot
465,atmospheric
466,death
467,emotional
468,multiple storylines
469,Music
470,nonlinear
471,surreal
472,thought-provoking
473,visually appealing
474,disturbing
475,dystopia
476,ending
477,future
478,sci-fi
479,violence
480,americanized movie
481,based on a comic
482,based on comic
483,blood
484,Frank Miller
485,stylized
486,atmospheric
487,dark
488,despair
489,ending twist
490,great soundtrack
491,madness
492,psychological
493,psychology
494,slow paced
495,spaceships
496,French
497,murder mystery
498,twist ending
499,coming of age
500,Middle East
501,politics
502,revolution
503,social commentary
504,entirely dialogue
505,Excellent use of dialogue
506,immortality
507,intellectual
508,sci-fi
509,thought-provoking
510,Underrated
511,unique
512,Atmospheric
513,Batman
514,Heath Ledger
515,superhero
516,vigilante
517,India
518,love story
519,Oscar (Best Picture)
520,photography
521,romance
522,shallow plot
523,social commentary
524,violence
525,visually appealing
526,Clint Eastwood
527,culture clash
528,gangs
529,redemption
530,emotional
531,friendship
532,action
533,alien invasion
534,aliens
535,sci-fi
536,social commentary
537,boring plot
538,nonsensical
539,stupid
540,stupid characters
541,beautiful scenery
542,Bible
543,characters
544,Christianity
545,Denzel Washington
546,dystopic future
547,fight scenes
548,plot holes
549,nonlinear
550,Nudity (Topless)
551,sci-fi
552,time travel
553,too long
554,cheating
555,cold
556,husband-wife relationship
558,lack of identification
559,thought-provoking
560,unlikable characters
561,disturbing
562,long revenge
563,spanish
564,unpredictable
565,animation
566,coma
567,drama
568,emotional
569,family bonds
570,George Clooney
571,Hawaii
572,future
573,sci-fi
574,time travel
575,violent
576,visually appealing
577,adapted from:book
579,atmospheric
580,based on a book
581,multiple storylines
582,philosophy
583,rebellion
584,sci-fi
585,slow paced
586,social commentary
587,social criticism
588,Tom Hanks
589,visually appealing
590,Leonardo DiCaprio
591,Over the top
592,Quentin Tarantino
593,Samuel L. Jackson
594,slavery
595,based on a book
596,dystopia
597,based on a book
598,marriage
599,meticulous
600,mindfuck
601,Neal Patrick Harris
602,unpredictable
603,netflix
604,netflix
605,netflix
606,black comedy
607,oppl
608,netflix
609,own
610,netflix
611,netflix
612,netflix
613,oppl
614,netflix
615,oppl
616,Good Book Bad Movie
617,netflix
618,Ireland
619,Irish
620,NOT British
621,netflix
623,netflix
624,oppl
625,netflix
626,netflix
627,netflix
628,netflix
629,netflix
630,netflix
631,oppl
632,netflix
633,netflix
634,netflix
635,netflix
636,oppl
637,netflix
638,netflix
639,oppl
640,oppl
641,oppl
642,netflix
643,netflix
644,netflix
645,netflix
647,netflix
648,netflix
649,netflix
650,netflix
651,oppl
652,oppl
653,netflix
654,netflix
655,netflix
656,netflix
657,netflix
658,netflix
659,netflix
660,black comedy
661,netflix
662,netflix
663,netflix
664,netflix
665,netflix
666,netflix
667,KATHARINE Hepburn
668,netflix
670,netflix
671,netflix
672,netflix
673,oppl
674,netflix
675,netflix
676,netflix
678,netflix
679,netflix
680,netflix
681,netflix
682,netflix
683,netflix
684,netflix
685,netflix
687,netflix
688,netflix
690,netflix
691,netflix
692,netflix
693,netflix
694,netflix
695,black comedy
696,netflix
697,netflix
698,oppl
699,netflix
700,oppl
701,oppl
702,netflix
703,oppl
704,netflix
705,netflix
706,netflix
707,netflix
708,oppl
709,netflix
710,netflix
711,black comedy
712,netflix
713,oppl
714,not found
715,netflix
716,netflix
717,netflix
718,netflix
719,netflix
720,netflix
721,netflix
722,netflix
723,netflix
724,netflix
725,netflix
726,black comedy
727,netflix
728,anti-abortion
729,netflix
730,netflix
731,netflix
732,netflix
733,netflix
734,netflix
735, oppl
736,netflix
737,netflix
738,netflix
739,netflix
741,netflix
742,netflix
743,netflix
744,netflix
745,netflix
746,netflix
747,netflix
748,netflix
749,netflix
750,netflix
751,netflix
752,netflix
753,new
754,france
755,netflix
756,netflix
757,netflix
758,netflix
759,netflix
760,netflix
761,oppl
762,new
763,oppl
764,new
765,netflix
766,oppl
767,netflix
768,netflix
769,netflix
770,netflix
771,netflix
772,netflix
773,netflix
774,netflix
775,netflix
776,netflix
777,oppl
778,netflix
779,oppl
780,netflix
781,netflix
782,oppl
783,netflix
784,netflix
785,netflix
786,oppl
787,oppl
788,netflix
789,netflix
790,netflix
791,oppl
792,oppl
793,oppl
794,netflix
795,netflix
796,oppl
797,oppl
798,netflix
799,feminism
800,feminist
801,netflix
802,netflix
803,netflix
804,netflix
805,oppl
806,oppl
807,netflix
808,oppl
809,netflix
810,netflix
812,netflix
813,Kevin Pederast
814,This Would Have Been Funnier If It Was A Horror Film
815,'Oh The Whore-ror!'
816,'Wow Mrs. Robinson Your Porridge Is Just Right!'
818,'Carrie I Don't Wanna Rain On Your Parade But That's Not Fruit Punch'
819,'Oh Spock! Oh Jim! Oh Bones!' WTF!? Et Tu Herr Doktor? Heil!
820,Of Course It's Rigid! The Dude's In Full Rigor!
821,All Of A Sudden You Feel Guilty About Bangin' Yer Own Daughter Why Stop Now?
822,Ewe Mean Sausage McHoody With Eggs
823,'I Guess Repression Does Have It's Moments After All'
824,'It's Not Where Your Dreams Take You But Who You Take In Your Dreams' hahaha!
825,'And Just What Do You Think You're Doing Mr. Smeee?'
826,You Mean It's Over Inflated!
827,'That's All An Inmate Wants...Simple Pleasures'
828,Guy Pierce With Dweeb Focals
829,'Didn't This Already Happen To Bernie?'
830,Was The Mission About Finding A Position?
831,You Only Got 2 Bullets. I Have A Sword. You Will Miss. I Won't.
832,'Hey Dan Do You Mind Having Rabbit Stew For A Pick-Me-Up?'
833,the book was bettah
834,Great Anti-Abortion Film
835,'Stop Banging The Doorbell I'm Landscaping My Kitchen Sink!'
836,'I Can't Get That Theme Song Out Of My Head'
837,Perfect Use Of Johnny & Santo's 1 Hit Wonder
838,'On A Steel Horse I Ride I'm Wanted (waaaanteeddd) Dead Or Alive'
839,The 5-Second Rule Never Applies Near Animals Or In Zoos
840,Re-Fried For U.S.
841,The Mother Of Connect-The-Dots  Flix (Grand Canyon/Crash/ETC)
842,'Don't Watch 'Criminal' Totally Butchered'
843,'Yeah The Test Audience Thought That Was A Better Title...More Upbeat'
844,'Know Why I Like Butchering Pigs? It's Like Killing Cops But Without The Jail Time'
845,even crazy people like to be asked out
846,'The What?!'
847,Sometimes Marriage Makes You Wanna Forget Why The Hell You Said YES
848,With A Name Like Chew Yer Fat A Crossover Is Not Possible
849,Even Dweebs Go Psycho If You Keep Making Fun Of Their Glasses
850,"'H Christ!\\"""""
851,'Why Is Everyone Running Around With Puppets Up Their A**?!'
852,'Alison Lohman Stole The Whole Damn Film'
853,Animated Woody Allen Film...If He Made One
854,'I Have Never Had Any Foreign Relations With That Woman Hillary Lewinsky'
855,...'Livin' In An Amish Paradise'
856,'The Ninja Assault Gets A 3peat'
857,"Just Great. Now Every1 Knows Ewan Is \\""Hooded\""\"""""
858,'And When The Germans Came Over The Ridge They Suddenly Went Blind!'
859,'Is That What He Called It?'
860,Wasn't That Human Played By Ice-T?
861,If The Director Doesn't Care 2 Flesh Out A Film Why The Hell Should I Care What Happens 2 The Characters?
862,More Like Plothunters Or Why Did I Watch This?
864,'Is That What She Calls It?'
865,Loved The Mouse Wake-Up
866,9ine Queens Was A Better Title...& Film
867,Hmmm I Wonder How Many Counselors Do Their Jobs Like That!
868,'That's Where You Enter From Behind After A Running Jump'
869,Just Another F***ing A-Hole!
870,He Loses All Credibility When He Runs LOL!
871,Cynthia(Deborah Rennard) Was The Only Performer To Watch In This Drek! More Like L I O N A S S!
872,Takeshi Definitely Beat This Genre To The Ground
873,Fight For Your Dreams Because People Are Dying For Theirs
874,A Married Couples Excuse To Shag On Film
875,Merde!
876,Like Michael Crichton Sez Help Stop Gene Patenting! Or Sooner Than Later You Won't Even Own Your Cells!
877,Zoom In & Slo-Mo The Porking Scene With Ridin' Winona
878,'You Know What They Say About Short Men With Little Toes'
879,'This Is My Gun. I Love To Touch My Gun. Touch My Gun.'
880,A Deadhead With A Parrot Fetish
881,Tailoring Would Be Back In Style If More Women Appreciated Clothes In THAT Way!
882,Mrs. Jones Distracted Me The Whole Movie
884,Being Prostituted By Your Husband Is Never Romantic!
885,Wonderful Asian Film That Shows Why We Shouldn't Hide Who We Really Are
886,Emily Blunt Is Sooo Very...   She Was Amazing In Irresistable
887,Please Stop Re-Frying Books That Suck Donkey D***!
888,We All Gotta Have A Dream
889,Do People Really Have 2 Pay 10 Bucks To See How Cruel We Are To Each Other? Try Getting Married!
890,When It Comes Down To It Toilet Humor Always S(m)ells
891,It's The Journey Not The Destination That We Should Enjoy
892,Never Ever Discuss Your Lack Of Game To Wild Bears!
893,Never Trust Euro-Looking A-Holes @ The Airport.Com
894,'There's A Lotta These At Used Book Stores...Hmmm I Wonder Why It Sucks That Bad'
895,I Don't Think Arms Dealers Look Anything Like Nick Cage
896,Where Can I Learn To Speak English Like That?
897,Teen Induced Angst Overdose
898,Half-Assed Productions
899,How Come Charlize Can Play A Serial Killer But She Can't Show More Skin Oh Come On!
900,Tim Burton Hits Another One Out Of The Cemetery
901,They Made This Already And It Was Titled: Football Factory It's Way Better Than This Re-Hash
902,Millions Of Dollars In Drugs Or One Hot Girlfriend...You Choose
903,Brighton Beach Memoirs & Juliana Moore
904,No Wonder Carneys Love The Life
905,What's Really Scary Is That There's People Like That In Real Life!
906,Isn't Renee Russo Like 100 Years Old? Matt! What Were You Thinking?
907,Cow Pokin' In Them Thar Hills
908,Steve Martin Is Scraping The Bottom HARD!
909,I Just Kept Hearing Massive Attack After The Car Accident
910,But What Did They Do After New Years: Resolve To Kill ALL My Enemies
911,It Just Goes To Show Ya Once The Ring Goes On It's Just Leftovers
912,"Years Of Degredation And Humiliation And They Sell Your \\""Mizuage\""\"" To The Creepiest Keymaster"""
913,Even Princesses Want To Have Pig Sex Now & Again...& Again
914,Stop Killing Each Other You're Neighbors!
915,It's Not Just A Phase It's Really A Way Of Life
916,When You're Stressed Out Nudity Works Wonders For Your Nerves
917,No Matter What Century It Is Jungle Fever Is Very Contagious!
918,Parkour: Getting Around Obstacles A Great Complement To Being Alive
919,I Guess Nude Terminators Can't Kill A Really Bad Film
920,Oh No This Film Doesn't Promote Murder & Suffering It Just Encourages It!
921,Nick Swardson Should Have Been Lead His Timing Was Sic!
922,The Whole Tromeo & Juliet Threw Me Off But Thank Gawd They Didn't Talk Like Bill The Spear Shaker
923,What If The Big Bad Wolf & Grandma Were Swapping Spit?
924,An Orifice & A Gentle Hand Refried For '06
925,Read All The Negative Reviews & Save 2 Hours Of Your Life!
926,'Lemme Get This Straight. You Have No Idea Who You Are But You Wanna Be Famous?'
927,If I See One More Roast Beef Sandwich You Will Smell My Reaction
928,"Obviously Hillary Had A Different Meaning For \\""Secret Service\""\"""""
929,Ethan Hunt Should Stop Hogging The Screen!
930,'Priceline Negotiator!'
931,The Power Of The P
932,Believe In Your Ability To See Stoopid Plotlines
933,Not Even Uma Could Save This Dizaster! Wanda Yikes!
934,It's Not Size Of Your Stick But Why You Keep On Swingin' It!
935,'So How Did Lois Survive Date Nite?'
936,A Comedy Version Of Matchpoint
937,You Would Do Anything In The Universe To Get Rachael Weisz Back As Well
938,Or How The Last Of The Mohican Killed The Predator Escaping From The Thunderdome
939,'I Want To Meke Romance Explosion On Her Stomatch!'
940,Kevin Cockner & Asstin Goocher Guarding Each Others Happy Holes
941,You Know It's Bad If It's Been Reheated...Again
942,No Amount Of Silly Cone Can Save A Steaming Pile Of Shitzu Like This
943,my child let me show you how firm my faith is
944,'Double Fudge Bus'
945,Rwanda Genocide
946,Rwandan Genocide
947,Bond Would Never Ever Be Caught Driving A Frikkin FORD
948,Oh The Things I Could Do If Snow White Were A Console
949,What Happens To Batman When He Loses The Wayne Fortune
950,'There's Shit In The Meat!'
951,'I Had No Idea That You Were A F****** Vampire!'
952,It's Biased When Watanabe Uses A 45 And Kills Himself
953,Just In Timber Cake Must Die!
954,Pixar's Formula Starting To Get Stale
955,'It's Just Hostel 3 With Better Actors'
956,It Just Keeps Getting Better
957,What's Up With The Da Vinci Hair Do
958,Not Another Mingella Stretcher! We Hates Them!
959,After The Reveal The Story Went Back Down And Never Came Up Again
960,It's 1 Part Bad Memories  1 Part Double Cross Add  A Twist Of Slime & Lots Of Good Vibrations!
961,'Please Tell Me We Brought The Lighter...Please'
962,'Don't Look Into Berry's Headlights She'll Turn You Into Wood'
963,Rear Pwnage
964,Karl Urban Needs To Pick Better Projects & He Needs 2 Pick-Up His Sword
965,Lecter Remarries & Kills His Insulting Wife & Butts Heds With Hotshot D.A.
966,'I'll Give You 10 Seconds Head Start...10!'
967,'Saving Silverman Part Deux'
968,'Take This Sinking Boat & Point It Home You Hoover Fixer Sucker Guuuyyy!'
969,'Why Yes I Would So Love To Sketch Nudes In Costco!'
970,'What I Really Wanna Know Is...Does Alba Get Sooper Nekkid?'
971,'And So The Bear And Little Deiter Went Off Into The Mountains & Lived Like Homosexual Bears'
972,'Now If Only Dubya Could Wash Me Whites
973,Chuck & Buck...
974,'More Like Skankwalkers'
975,Mostly Martha Will Always Be The Best. Aron Eckhart? Ninja Pleaze!
976,Super De-Formed
977,'Don't Cry Jen I Promise We'll Kill Them All'
979,The Director Should Be Be Shot...In The Mouth!
980,'Why Is My Arm Wet? Oh It's Just A Crushed Baby'
981,'STFU!'
982,'The Other Movie Did It's Job...This Must Be The Wrong Movie'
983,'I Love You Anna!'
984,30 Daze Of Shite
985,'Show Me The Money! I Can't Hear You Haji Scream Louder!'
986,A Bad Copy Of Departed Which Was A Re-Hash Of Infernal Affairs
987,'Heads Or Tails...Call It'
988,I felt sweded
989,'I Will Give My Kingdom For A Great Piece Of TWAT!'
990,'I Don't Care If You Have Cholera It's Still Heads Or Tails...Call It'
991,'Cate Dylan Hmmm...'
992,'Oh Edward!  A Mr. Todd Would Like You To Cut His Hair'
993,'It Should Have Been Kept A Secret'
994,'AKA: I Will Never Get Those 2 Hours Back...Ever'
996,blair gojira project
997,we can do this easy or we can do this reeal easy it's called magic hour
998,brain bang
999,that's what he keeps asking for
1000,of course you keep seeing dead people...they're all dying!
1001,not another herzog schwarzenneger egomentary
1002,...that it's finally over
1003,it's too bad Brendan can't shake the Encino Man syndrome
1004,didja know there's a black police ociffer on our block? oh man there goes the neighborhood
1005, 
1006,'stop wanking
1007,or you'll go...too late'
1008,all your vagine are belong to us!
1009,P.S.H as a priest? oh you know he's guilty!
1010,mickey 'the stretch' rourke
1011,you mean he gets to go back inside the...oh lucky
1012,no matter what role it is i will not change my persona everybody worships 'the cruise'
1013,shame on them!
1014,angles and deadlines
1015,crash re-hashed
1016,good first try for MCG
1017,should have been longer to really flesh out the feeling of bleakness and give a sense of a last hope more action more global feel
1018,better method AI
1019,needed more autobots
1020,stop using useless characters for filler
1021,we are all connected. it's not my life or your life it's all life. stop being afraid and hating the unknown. smile and make eye contact.
1022,melvin pervo didn't commit suicide he just offed hiself 'cleaning' his barrel
1023,"\\""Tonite"""
1024,Act From
1025,"Hell!\\"""""
1026,We
1027,funny
1028,angels
1029,true love
1030,Katie Holmes
1031,Timothy Olyphant
1032,Honor
1033,narrated
1034,change
1035,change
1036,Change of heart
1037,breaking the fourth wall
1038,violent
1039,friendship
1040,roadtrip
1041,great ending
1042,great acting
1043,mexican stand off
1044,tension
1045,violence
1046,disappointing
1047,Milla Jovovich
1049,Timothy Olyphant
1050,bad cameo
1051,not funny
1052,waste of time
1053,Michelle Williams
1054,bad acting
1055,childish
1056,Rosario Dawson
1057,boring
1058,Ewan McGregor
1059,great house
1060,location
1061,Pierce Brosnan
1062,slow
1063,clever plot
1064,boring
1065,poor plot
1066,waste of time
1067,dreams
1068,open ending
1069,Michael Cera
1070,dull
1071,gay
1073,motorcycle
1075,visually appealing
1076,weak dialoges
1077,Emily Blunt
1078,soundtrack
1079,Russell Brand
1080,boring
1081,dissapointing
1082,acting
1083,great acting
1084,Sam Rockwell
1085,Elizabeth Banks
1086,naive
1087,socjopat
1088,acting
1089,clever
1090,funny
1091,Julia Dietze
1092,pointless
1093,waste of time
1094,Mark Wahlberg
1095,not funny
1096,pointless
1097,waste of time
1098,Vince Vaughn
1099,violence
1100,violent
1101,Christopher Walken
1102,Sam Rockwell
1103,Woody Harrelson
1104,gets worse as it goes
1105,cleavage
1106,Jai Courtney
1107,pointless
1109,Skylar Astin
1110,Nudity (Full Frontal)
1111,Nudity (Full Frontal)
1112,not funny
1113,advertising
1114,corporations
1115,love
1116,Sam Rockwell
1117,rushed ending
1118,all the best parts are in the trailer
1119,dissapointing
1120,makes no sense
1121,David Bowie
1122,Nudity (Topless)
1123,Nudity (Topless)
1124,holdem
1125,language
1126,Nudity (Topless)
1127,animation
1128,action
1129,adventure
1130,based on a comic
1131,comic book
1132,funny
1133,Jeff Bridges
1134,Marvel
1135,military
1136,murder
1137,Robert Downey Jr.
1138,superhero
1139,torture
1140,vigilante
1141,Bunuel
1142,classic
1143,Dali
1144,dreams
1145,experimental
1146,surreal
1147,surrealism
1148,mumblecore
1149,ddd
1150,based on a book
1151,strong women
1152,marvelous
1153,coming of age
1154,iconic
1155,reflective
1156,social commentary
1157,thought-provoking
1158,Brad Pitt
1159,imdb top 250
1160,social commentary
1161,thought-provoking
1162,twist ending
1163,violence
1164,corruption
1165,docudrama
1166,Russell Crowe
1167,true story
1168,overrated
1169,based on a true story
1170,dark comedy
1171,narrated
1172,Nicolas Cage
1173,dialogue driven
1174,ethics
1175,nonsense
1176,too long
1177,touching
1178,very moving
1179,Beautiful story.
1180,Very emotional true story. Very eye opening.
1181,Denzel Washington
1183,wacky
1184,corny humor
1185,nice visuals
1186,shaky camera
1187,father-son relationship
1188,prison
1189,psychology
1190,comedy
1191,drama
1192,Robin Williams
1193,Steve Martin
1194,cult film
1196,nonlinear
1197,Quentin Tarantino
1198,comedy
1199,Martin Scorsese
1200,organized crime
1201,Robert De Niro
1202,surreal
1203,mental illness
1204,small town
1206,1980s
1207,chick flick
1208,funny
1209,comedy
1210,sexual
1211,Steven Spielberg
1212,Tom Hanks
1213,World War II
1214,alternate reality
1215,Tim Burton
1216,comedy
1217,parody
1218,quirky
1219,post-apocalyptic
1220,virtual reality
1221,high school
1222,comedy
1223,High School
1224,teen
1225,surreal
1226,Robert De Niro
1227,Robin Williams
1228,prison
1230,South America
1231,survival
1232,father-son relationship
1233,nonlinear
1234,action
1235,conspiracy
1236,Studio Ghibli
1237,Action
1238,fantasy
1240,multiple storylines
1241,Quentin Tarantino
1242,Comedy
1243,funny
1244,zombies
1245,Quentin Tarantino
1246,conspiracy
1247,dark comedy
1248,friendship
1249,midlife crisis
1250,comedy
1251,Nudity (Topless - Notable)
1252,dark comedy
1253,social commentary
1254,twist ending
1255,organized crime
1256,drugs
1257,marijuana
1258,comedy
1259,High school life
1260,comedy
1261,drugs
1262,Stoner Movie
1263,comedy
1264,social commentary
1265,clint eastwood
1266,culture clash
1267,gangsters
1268,Animation
1269,Studio Ghibli
1270,Quentin Tarantino
1271,satire
1272,comedy
1273,drugs
1274,Las Vegas
1275,comedy
1276,post-apocalyptic
1277,zombies
1278,animation
1279,friendship
1280,mental illness
1281,alternate reality
1282,sci-fi
1283,surreal
1284,dark comedy
1285,adventure
1286,loneliness
1287,true story
1288,cult film
1289,cyberpunk
1290,imdb top 250
1291,Keanu Reeves
1292,philosophy
1293,stylized
1295,surreal
1296,thought-provoking
1297,quirky
1298,Jim Parsons
1299,complex
1300,military
1301,MILITARY LIFE
1302,mythology
1303,religion
1304,sci-fi
1305,space
1306,thought-provoking
1307,visually appealing
1308,Jet Li
1309,Morgan Freeman
1310,psychology
1311,Sexualized violence
1312,black comedy
1313,funny
1314,quirky
1315,witty
1316,"\\""found footage\""\"""""
1317,creepy
1318,Foreign
1319,Handycam
1320,spanish
1321,atmospheric
1322,documentary style
1323,IMDB Top 250
1324,role reversal
1325,sci-fi
1326,beautiful scenery
1327,military
1328,war
1329,Beauty
1330,chaos
1331,cinematography
1332,nonlinear
1333,technobabble
1334,cute
1335,fight scenes
1336,funny
1337,quirky
1339,stylized
1340,video games
1341,Emma Stone
1342,witty
1343,Jake Gyllenhaal
1344,adapted from:comic
1345,campy
1346,dieselpunk
1347,Marvel
1348,Creepy
1349,Slow
1350,found footage
1351,ending
1352,music
1353,fighting
1354,Hero
1355,Brad Pitt
1356,Bruce Willis
1357,short-term memory loss
1358,neo-noir
1359,dragon
1360,noir thriller
1361,courtroom drama
1363,arnold
1364,spielberg
1365,spielberg
1366,neo-noir
1367,mars
1368,spielberg
1369,conspiracy theory
1370,dragon
1371,cheerleading
1372,spielberg
1373,arnold
1374,neo-noir
1375,arnold
1376,dragon
1377,cheerleading
1378,christian
1379,jesus
1380,spielberg
1381,arnold
1382,stranded
1383,screwball comedy
1384,dark hero
1385,christian
1386,treasure
1387,neo-noir
1388,cheerleading
1389,dark hero
1390,screwball comedy
